,category,filepath
0,chickenrice,images/chickenrice_1334.jpg
1,chickenrice,images/chickenrice_43.jpg
2,laksa,images/laksa_191.jpg
3,chickenrice,images/chickenrice_1452.jpg
4,chickenrice,images/chickenrice_1446.jpg
5,chickenrice,images/chickenrice_57.jpg
6,wantonnoodle,images/wantonnoodle_818.jpg
7,wantonnoodle,images/wantonnoodle_830.jpg
8,prawnnoodle,images/prawnnoodle_706.jpg
9,wantonnoodle,images/wantonnoodle_824.jpg
10,prawnnoodle,images/prawnnoodle_712.jpg
11,chickenrice,images/chickenrice_995.jpg
12,chickenrice,images/chickenrice_80.jpg
13,laksa,images/laksa_634.jpg
14,prawnnoodle,images/prawnnoodle_921.jpg
15,hokkienmee,images/hokkienmee_218.jpg
16,chickenrice,images/chickenrice_1491.jpg
17,wantonnoodle,images/wantonnoodle_603.jpg
18,chickenrice,images/chickenrice_94.jpg
19,charkwayteo,images/charkwayteo_1138.jpg
20,hokkienmee,images/hokkienmee_542.jpg
21,chickenrice,images/chickenrice_956.jpg
22,prawnnoodle,images/prawnnoodle_909.jpg
23,prawnnoodle,images/prawnnoodle_538.jpg
24,chickenrice,images/chickenrice_1136.jpg
25,chickenrice,images/chickenrice_1122.jpg
26,laksa,images/laksa_387.jpg
27,prawnnoodle,images/prawnnoodle_504.jpg
28,hokkienmee,images/hokkienmee_783.jpg
29,prawnnoodle,images/prawnnoodle_510.jpg
30,hokkienmee,images/hokkienmee_797.jpg
31,wantonnoodle,images/wantonnoodle_398.jpg
32,prawnnoodle,images/prawnnoodle_276.jpg
33,charkwayteo,images/charkwayteo_1448.jpg
34,wantonnoodle,images/wantonnoodle_415.jpg
35,prawnnoodle,images/prawnnoodle_1013.jpg
36,wantonnoodle,images/wantonnoodle_401.jpg
37,hokkienmee,images/hokkienmee_768.jpg
38,prawnnoodle,images/prawnnoodle_1007.jpg
39,prawnnoodle,images/prawnnoodle_289.jpg
40,wantonnoodle,images/wantonnoodle_367.jpg
41,charkwayteo,images/charkwayteo_1474.jpg
42,hokkienmee,images/hokkienmee_740.jpg
43,hokkienmee,images/hokkienmee_754.jpg
44,hokkienmee,images/hokkienmee_813.jpg
45,laksa,images/laksa_595.jpg
46,hokkienmee,images/hokkienmee_807.jpg
47,prawnnoodle,images/prawnnoodle_316.jpg
48,wantonnoodle,images/wantonnoodle_207.jpg
49,laksa,images/laksa_542.jpg
50,chickenrice,images/chickenrice_1081.jpg
51,chickenrice,images/chickenrice_1095.jpg
52,wantonnoodle,images/wantonnoodle_575.jpg
53,wantonnoodle,images/wantonnoodle_213.jpg
54,laksa,images/laksa_230.jpg
55,charkwayteo,images/charkwayteo_1528.jpg
56,laksa,images/laksa_218.jpg
57,wantonnoodle,images/wantonnoodle_47.jpg
