image_path,label
data_clean_aash/bbq stingray/1.jpeg,bbq stingray
data_clean_aash/bbq stingray/2.jpeg,bbq stingray
data_clean_aash/bbq stingray/3.jpeg,bbq stingray
data_clean_aash/bbq stingray/4.jpeg,bbq stingray
data_clean_aash/bbq stingray/5.jpeg,bbq stingray
data_clean_aash/bbq stingray/6.jpeg,bbq stingray
data_clean_aash/bbq stingray/7.jpeg,bbq stingray
data_clean_aash/bbq stingray/8.jpeg,bbq stingray
data_clean_aash/bbq stingray/9.jpeg,bbq stingray
data_clean_aash/bbq stingray/10.jpeg,bbq stingray
data_clean_aash/bbq stingray/11.jpeg,bbq stingray
data_clean_aash/bbq stingray/12.jpeg,bbq stingray
data_clean_aash/bbq stingray/13.jpeg,bbq stingray
data_clean_aash/bbq stingray/14.jpeg,bbq stingray
data_clean_aash/bbq stingray/16.jpeg,bbq stingray
data_clean_aash/bbq stingray/17.jpeg,bbq stingray
data_clean_aash/bbq stingray/18.jpeg,bbq stingray
data_clean_aash/bbq stingray/19.jpeg,bbq stingray
data_clean_aash/bbq stingray/21.jpeg,bbq stingray
data_clean_aash/bbq stingray/22.jpeg,bbq stingray
data_clean_aash/bbq stingray/23.jpeg,bbq stingray
data_clean_aash/bbq stingray/24.jpeg,bbq stingray
data_clean_aash/bbq stingray/26.jpeg,bbq stingray
data_clean_aash/bbq stingray/28.jpeg,bbq stingray
data_clean_aash/bbq stingray/29.jpeg,bbq stingray
data_clean_aash/bbq stingray/30.jpeg,bbq stingray
data_clean_aash/bbq stingray/31.jpeg,bbq stingray
data_clean_aash/bbq stingray/32.jpeg,bbq stingray
data_clean_aash/bbq stingray/33.jpeg,bbq stingray
data_clean_aash/bbq stingray/34.jpeg,bbq stingray
data_clean_aash/bbq stingray/35.jpeg,bbq stingray
data_clean_aash/bbq stingray/36.jpeg,bbq stingray
data_clean_aash/bbq stingray/37.jpeg,bbq stingray
data_clean_aash/bbq stingray/38.jpeg,bbq stingray
data_clean_aash/bbq stingray/41.jpeg,bbq stingray
data_clean_aash/bbq stingray/42.jpeg,bbq stingray
data_clean_aash/bbq stingray/43.jpeg,bbq stingray
data_clean_aash/bbq stingray/44.jpeg,bbq stingray
data_clean_aash/bbq stingray/45.jpeg,bbq stingray
data_clean_aash/bbq stingray/46.jpeg,bbq stingray
data_clean_aash/bbq stingray/47.jpeg,bbq stingray
data_clean_aash/bbq stingray/48.jpeg,bbq stingray
data_clean_aash/bbq stingray/49.jpeg,bbq stingray
data_clean_aash/bbq stingray/51.jpeg,bbq stingray
data_clean_aash/bbq stingray/52.jpeg,bbq stingray
data_clean_aash/bbq stingray/53.jpeg,bbq stingray
data_clean_aash/bbq stingray/54.jpeg,bbq stingray
data_clean_aash/bbq stingray/56.jpeg,bbq stingray
data_clean_aash/bbq stingray/57.jpeg,bbq stingray
data_clean_aash/bbq stingray/59.jpeg,bbq stingray
data_clean_aash/bbq stingray/60.jpeg,bbq stingray
data_clean_aash/bbq stingray/61.jpeg,bbq stingray
data_clean_aash/bbq stingray/62.jpeg,bbq stingray
data_clean_aash/bbq stingray/63.jpeg,bbq stingray
data_clean_aash/bbq stingray/64.jpeg,bbq stingray
